[2025-04-26 16:42:39] [class-ss-archive-creation-job.php:97] Starting a job; no job is presently running
[2025-04-26 16:42:40] [class-elementor-integration.php:230] Adding elementor bundle asset to queue: http://teste2.local/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-bounce-out.min.css
[2025-04-26 16:42:40] [class-elementor-integration.php:230] Adding elementor bundle asset to queue: http://teste2.local/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-buzz-out.css
[2025-04-26 16:42:40] [class-elementor-integration.php:230] Adding elementor bundle asset to queue: http://teste2.local/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-buzz-out.min.css
[2025-04-26 16:42:40] [class-elementor-integration.php:230] Adding elementor bundle asset to queue: http://teste2.local/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-buzz.css
[2025-04-26 16:42:40] [class-elementor-integration.php:230] Adding elementor bundle asset to queue: http://teste2.local/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-buzz.min.css
[2025-04-26 16:42:40] [class-elementor-integration.php:230] Adding elementor bundle asset to queue: http://teste2.local/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-float.css
[2025-04-26 16:42:40] [class-elementor-integration.php:230] Adding elementor bundle asset to queue: http://teste2.local/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-float.min.css
[2025-04-26 16:42:40] [class-elementor-integration.php:230] Adding elementor bundle asset to queue: http://teste2.local/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-grow-rotate.css
[2025-04-26 16:42:40] [class-elementor-integration.php:230] Adding elementor bundle asset to queue: http://teste2.local/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-grow-rotate.min.css
[2025-04-26 16:42:40] [class-elementor-integration.php:230] Adding elementor bundle asset to queue: http://teste2.local/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-grow.css
[2025-04-26 16:42:40] [class-elementor-integration.php:230] Adding elementor bundle asset to queue: http://teste2.local/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-grow.min.css
[2025-04-26 16:42:40] [class-elementor-integration.php:230] Adding elementor bundle asset to queue: http://teste2.local/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-hang.css
[2025-04-26 16:42:40] [class-elementor-integration.php:230] Adding elementor bundle asset to queue: http://teste2.local/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-hang.min.css
[2025-04-26 16:42:40] [class-elementor-integration.php:230] Adding elementor bundle asset to queue: http://teste2.local/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-pop.css
[2025-04-26 16:42:40] [class-elementor-integration.php:230] Adding elementor bundle asset to queue: http://teste2.local/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-pop.min.css
[2025-04-26 16:42:40] [class-elementor-integration.php:230] Adding elementor bundle asset to queue: http://teste2.local/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-pulse-grow.css
[2025-04-26 16:42:40] [class-elementor-integration.php:230] Adding elementor bundle asset to queue: http://teste2.local/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-pulse-grow.min.css
[2025-04-26 16:42:40] [class-elementor-integration.php:230] Adding elementor bundle asset to queue: http://teste2.local/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-pulse-shrink.css
[2025-04-26 16:42:40] [class-elementor-integration.php:230] Adding elementor bundle asset to queue: http://teste2.local/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-pulse-shrink.min.css
[2025-04-26 16:42:40] [class-elementor-integration.php:230] Adding elementor bundle asset to queue: http://teste2.local/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-pulse.css
